polarization2,year,state,N
4.164653772332034,2017,OKLAHOMA,156
4.396905403849171,2017,OREGON,219
4.514248739482543,2017,PENNSYLVANIA,799
4.212709061662452,2017,RHODE ISLAND,37
4.3321700442620426,2017,SOUTH CAROLINA,202
5.010600886264875,2017,SOUTH DAKOTA,36
4.3195224811892,2017,TENNESSEE,248
4.331778335889364,2017,TEXAS,1030
4.066349060280183,2017,UTAH,128
4.607166480232914,2017,VIRGINIA,477
4.214449845131367,2017,WASHINGTON,298
4.404603154543542,2017,WEST VIRGINIA,79
4.222903564626131,2017,WISCONSIN,296
4.823285659308012,2018,ALABAMA,773
4.031530182432956,2018,ALASKA,74
4.496383524975922,2018,ARIZONA,1317
4.484201051880951,2018,ARKANSAS,412
4.52108365715111,2018,CALIFORNIA,4390
4.439285372780345,2018,COLORADO,795
4.391213932560415,2018,CONNECTICUT,515
4.621099210858674,2018,DELAWARE,181
4.70383243350015,2018,DISTRICT OF COLUMBIA,104
4.624755611353825,2018,FLORIDA,3711
4.715016835670074,2018,GEORGIA,1584
4.09726352708945,2018,HAWAII,158
4.180773221940095,2018,IDAHO,280
4.648363626578222,2018,ILLINOIS,2003
4.57632663785688,2018,INDIANA,1140
4.397458660738142,2018,IOWA,457
4.420095973612854,2018,KANSAS,389
4.74126813036109,2018,KENTUCKY,791
4.598622615886578,2018,LOUISIANA,574
4.170209963588167,2018,MAINE,257
4.741530033656645,2018,MARYLAND,885
4.140411681921961,2018,MASSACHUSETTS,926
4.512740596615258,2018,MICHIGAN,1552
4.472653666566719,2018,MINNESOTA,841
4.8360539338976265,2018,MISSISSIPPI,366
4.549760269930951,2018,MISSOURI,1265
4.347115358004782,2018,MONTANA,216
4.322336221485612,2018,NEBRASKA,283
4.541704382091673,2018,NEVADA,536
3.995081407089857,2018,NEW HAMPSHIRE,231
4.669403507751076,2018,NEW JERSEY,1289
4.349360236475745,2018,NEW MEXICO,318
4.567643150316054,2018,NEW YORK,2842
4.555697264275977,2018,NORTH CAROLINA,1483
3.9176358081590275,2018,NORTH DAKOTA,131
4.620308901182954,2018,OHIO,2082
4.741725787098794,2018,OKLAHOMA,517
4.609007207492192,2018,OREGON,750
4.673124814264476,2018,PENNSYLVANIA,2627
4.307463410211911,2018,RHODE ISLAND,139
4.4749132024657765,2018,SOUTH CAROLINA,741
4.3370442995096505,2018,SOUTH DAKOTA,131
4.433448902888687,2018,TENNESSEE,1070
4.542136254381857,2018,TEXAS,3608
4.106598970977149,2018,UTAH,477
4.081124802911198,2018,VERMONT,100
4.485107913203231,2018,VIRGINIA,1460
4.253370920491925,2018,WASHINGTON,1108
4.541591843712748,2018,WEST VIRGINIA,351
4.28940395080981,2018,WISCONSIN,1013
4.565780272988621,2018,WYOMING,84
4.951289026897858,2019,ALABAMA,214
4.427559006860229,2019,ARIZONA,398
4.624797754231527,2019,ARKANSAS,121
4.74404960907402,2019,CALIFORNIA,1338
4.4255157210097416,2019,COLORADO,269
4.420320396092512,2019,CONNECTICUT,132
4.712779375137407,2019,DELAWARE,57
5.053113644890997,2019,DISTRICT OF COLUMBIA,38
4.676801005898762,2019,FLORIDA,1150
