district_id,candidate,party_id,value,N,Q,vQ/N
Københavns Omegns Storkreds,Benedikte Kiær,The Conservative Peoples Party,5344,10897,8,3.9232816371478387
Københavns Omegns Storkreds,Charlotte Dyremose,The Conservative Peoples Party,1881,10897,8,1.3809305313389006
Københavns Omegns Storkreds,Naser Khader,The Conservative Peoples Party,1690,10897,8,1.2407084518674865
Københavns Omegns Storkreds,Sille Beck-Hansen,The Conservative Peoples Party,847,10897,8,0.6218225199596219
Københavns Omegns Storkreds,Kurt Juul-Scheelsbeck,The Conservative Peoples Party,710,10897,8,0.5212443791869322
Københavns Omegns Storkreds,Henrik Sørensen,The Conservative Peoples Party,180,10897,8,0.1321464623290814
Københavns Omegns Storkreds,Annette Birch,The Conservative Peoples Party,135,10897,8,0.09910984674681105
Københavns Omegns Storkreds,Karsten Skawbo-Jensen,The Conservative Peoples Party,110,10897,8,0.08075617142332753
Nordsjællands Storkreds,Lars Barfoed,The Conservative Peoples Party,8268,12001,6,4.133655528705941
Nordsjællands Storkreds,Mette Abildgaard,The Conservative Peoples Party,1717,12001,6,0.8584284642946421
Nordsjællands Storkreds,Isabella Meyer,The Conservative Peoples Party,968,12001,6,0.48395967002749773
Nordsjællands Storkreds,Casper Strunge Andersen,The Conservative Peoples Party,555,12001,6,0.27747687692692274
Nordsjællands Storkreds,Lars N. Carstensen,The Conservative Peoples Party,304,12001,6,0.15198733438880094
Nordsjællands Storkreds,Rasmus Mahler,The Conservative Peoples Party,189,12001,6,0.09449212565619532
Bornholms Storkreds,Kirstine van Sabben,The Conservative Peoples Party,224,264,2,1.696969696969697
Bornholms Storkreds,Jens Rathmann Hansen,The Conservative Peoples Party,40,264,2,0.30303030303030304
Sjællands Storkreds,Brian Mikkelsen,The Conservative Peoples Party,4910,13649,12,4.31679976555059
Sjællands Storkreds,Helle Sjelle,The Conservative Peoples Party,2936,13649,12,2.581288006447359
Sjællands Storkreds,Christian Wedell-Neergaard,The Conservative Peoples Party,1486,13649,12,1.3064693384130706
Sjællands Storkreds,Rune Kristensen,The Conservative Peoples Party,991,13649,12,0.8712726207048136
Sjællands Storkreds,Brigitte Klintskov Jerkel,The Conservative Peoples Party,738,13649,12,0.6488387427650377
Sjællands Storkreds,Anette Brix,The Conservative Peoples Party,585,13649,12,0.5143233936552128
Sjællands Storkreds,Samina Shah,The Conservative Peoples Party,533,13649,12,0.46860575866363835
Sjællands Storkreds,Mikkel Lundemann Jensen,The Conservative Peoples Party,401,13649,12,0.35255330060810314
Sjællands Storkreds,Linda Sommer,The Conservative Peoples Party,369,13649,12,0.32441937138251886
Sjællands Storkreds,Ulla Margrethe Hansen,The Conservative Peoples Party,270,13649,12,0.23738002784086745
Sjællands Storkreds,Kristian Egebæk Mortensen,The Conservative Peoples Party,248,13649,12,0.21803795149827826
Sjællands Storkreds,Helena L. C. Vedholm,The Conservative Peoples Party,182,13649,12,0.16001172247051065
Fyns Storkreds,Mai Henriksen,The Conservative Peoples Party,3867,8585,8,3.603494467093768
Fyns Storkreds,Vivi Kier,The Conservative Peoples Party,2343,8585,8,2.1833430401863714
Fyns Storkreds,Jørgen Lundsgaard,The Conservative Peoples Party,889,8585,8,0.8284216656959814
Fyns Storkreds,Mark Grossmann,The Conservative Peoples Party,817,8585,8,0.7613278974956319
Fyns Storkreds,Franz Rohde,The Conservative Peoples Party,338,8585,8,0.3149679673849738
Fyns Storkreds,Flemming Hansen,The Conservative Peoples Party,179,8585,8,0.1668025626092021
Fyns Storkreds,Henrik Ørum Nissen,The Conservative Peoples Party,98,8585,8,0.09132207338380897
Fyns Storkreds,Anders Orris,The Conservative Peoples Party,54,8585,8,0.050320326150262086
Sydjyllands Storkreds,Mike Legarth,The Conservative Peoples Party,3234,11154,13,3.769230769230769
Sydjyllands Storkreds,Charlotte Sahl-Madsen,The Conservative Peoples Party,3124,11154,13,3.641025641025641
Sydjyllands Storkreds,Carina Christensen,The Conservative Peoples Party,2747,11154,13,3.2016317016317015
Sydjyllands Storkreds,Jan Køpke Christensen,The Conservative Peoples Party,535,11154,13,0.6235431235431236
Sydjyllands Storkreds,Tommy Rachlitz Nielsen,The Conservative Peoples Party,357,11154,13,0.4160839160839161
Sydjyllands Storkreds,Morten Grøn,The Conservative Peoples Party,303,11154,13,0.3531468531468531
Sydjyllands Storkreds,Tom Arnt,The Conservative Peoples Party,268,11154,13,0.3123543123543124
Sydjyllands Storkreds,Michael Nørtoft Frydensbjerg,The Conservative Peoples Party,201,11154,13,0.23426573426573427
Sydjyllands Storkreds,Bo Kragelund,The Conservative Peoples Party,129,11154,13,0.15034965034965034
Sydjyllands Storkreds,Stefan Tiedemann,The Conservative Peoples Party,92,11154,13,0.10722610722610723
Sydjyllands Storkreds,Rasmus Sømod,The Conservative Peoples Party,69,11154,13,0.08041958041958042
Sydjyllands Storkreds,Jesper Termansen,The Conservative Peoples Party,48,11154,13,0.055944055944055944
Sydjyllands Storkreds,Martin Holm Kodahl,The Conservative Peoples Party,47,11154,13,0.054778554778554776
Østjyllands Storkreds,Tom Behnke,The Conservative Peoples Party,3326,8331,9,3.5930860640979474
Østjyllands Storkreds,Karina Boldsen,The Conservative Peoples Party,2432,8331,9,2.6272956427799783
Østjyllands Storkreds,Niels Christian Selchau-Mark,The Conservative Peoples Party,637,8331,9,0.6881526827511704
Østjyllands Storkreds,Per Løkken,The Conservative Peoples Party,586,8331,9,0.6330572560316888
Østjyllands Storkreds,Ida Holst Kristensen,The Conservative Peoples Party,445,8331,9,0.4807346056895931
Østjyllands Storkreds,Nicolaj Bang,The Conservative Peoples Party,392,8331,9,0.4234785740007202
Østjyllands Storkreds,Per Bøje,The Conservative Peoples Party,277,8331,9,0.299243788260713
Østjyllands Storkreds,Søren Vanting,The Conservative Peoples Party,144,8331,9,0.15556355779618294
Østjyllands Storkreds,Jens Thomsen,The Conservative Peoples Party,92,8331,9,0.09938782859200576
Vestjyllands Storkreds,Helge Adam Møller,The Conservative Peoples Party,3377,8198,9,3.707367650646499
Vestjyllands Storkreds,Tove Videbæk,The Conservative Peoples Party,1623,8198,9,1.7817760429373017
Vestjyllands Storkreds,Frank Borch-Olsen,The Conservative Peoples Party,1007,8198,9,1.1055135398877776
Vestjyllands Storkreds,John Thorsø,The Conservative Peoples Party,906,8198,9,0.9946328372773847
Vestjyllands Storkreds,Anne Hansen,The Conservative Peoples Party,593,8198,9,0.6510124420590387
Vestjyllands Storkreds,Andreas Bjerregaard,The Conservative Peoples Party,237,8198,9,0.2601854110758722
Vestjyllands Storkreds,Anna Margrethe Engbæk Schmidt,The Conservative Peoples Party,174,8198,9,0.19102220053671629
Vestjyllands Storkreds,Esben Salling Larsen,The Conservative Peoples Party,156,8198,9,0.1712612832398146
Vestjyllands Storkreds,Camilla Hertzum Johansen,The Conservative Peoples Party,125,8198,9,0.13722859233959503
Nordjyllands Storkreds,Lene Espersen,The Conservative Peoples Party,10561,14560,8,5.802747252747253
Nordjyllands Storkreds,Daniel Rugholm,The Conservative Peoples Party,1322,14560,8,0.7263736263736263
Nordjyllands Storkreds,Thomas Krarup,The Conservative Peoples Party,1172,14560,8,0.643956043956044
Nordjyllands Storkreds,Tage Leegaard,The Conservative Peoples Party,898,14560,8,0.49340659340659343
Nordjyllands Storkreds,Anette Valentin,The Conservative Peoples Party,201,14560,8,0.11043956043956044
Nordjyllands Storkreds,Dorte Jepsen,The Conservative Peoples Party,194,14560,8,0.10659340659340659
Nordjyllands Storkreds,Kristian Klarskov,The Conservative Peoples Party,144,14560,8,0.07912087912087912
Nordjyllands Storkreds,Jesper Togsverd,The Conservative Peoples Party,68,14560,8,0.03736263736263736
Københavns Storkreds,Villy Søvndal,The Socialist Peoples Party,12954,32839,13,5.128109869362648
Københavns Storkreds,Ida Auken,The Socialist Peoples Party,9114,32839,13,3.607966137823929
Københavns Storkreds,Özlem Sara Cekic,The Socialist Peoples Party,5383,32839,13,2.1309723194981576
Københavns Storkreds,Kamal Qureshi,The Socialist Peoples Party,1977,32839,13,0.7826364992843875
Københavns Storkreds,Trine Mach,The Socialist Peoples Party,1513,32839,13,0.5989524650567922
Københavns Storkreds,Mette Boye,The Socialist Peoples Party,414,32839,13,0.16389049605651818
Københavns Storkreds,Annika Smith,The Socialist Peoples Party,294,32839,13,0.1163860044459332
Københavns Storkreds,Lotte Wassini,The Socialist Peoples Party,226,32839,13,0.08946679253326836
Københavns Storkreds,Balder Mørk Andersen,The Socialist Peoples Party,216,32839,13,0.08550808489905296
Københavns Storkreds,Anne-Mette Wehmüller,The Socialist Peoples Party,215,32839,13,0.08511221413563141
Københavns Storkreds,Dorte Skovgård,The Socialist Peoples Party,202,32839,13,0.07996589421115137
Københavns Storkreds,Charlie Stjerneklar,The Socialist Peoples Party,186,32839,13,0.07363196199640672
Københavns Storkreds,Ole Riisgaard,The Socialist Peoples Party,145,32839,13,0.05740126069612351
Københavns Omegns Storkreds,Holger K. Nielsen,The Socialist Peoples Party,3360,10946,8,2.4556915768317196
Københavns Omegns Storkreds,Pernille Frahm,The Socialist Peoples Party,2715,10946,8,1.9842864973506305
Københavns Omegns Storkreds,Bilal Inekci,The Socialist Peoples Party,1359,10946,8,0.9932395395578294
Københavns Omegns Storkreds,Serdal Benli,The Socialist Peoples Party,1137,10946,8,0.8309884889457336
Københavns Omegns Storkreds,Thor Möger Pedersen,The Socialist Peoples Party,684,10946,8,0.49990864242645716
Københavns Omegns Storkreds,Morten Normann Jørgensen,The Socialist Peoples Party,669,10946,8,0.48894573360131555
