"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","province"
"43",0.995009563513725,0.0140696631439278,0.832398047758719,0.455154066568972,0.564981130826994,0.995182843535318,0.560377701090275,0,0.985694373352076,0.167355010532791,0.544584399615033,0.427354355010888,0,0.42060119646792,"PETORCA"
"44",0.939155666599307,0,0.647500630273403,0.312561280260487,0.50985447964316,0.970366968423311,0.316798823807489,0,1,0.351048674693004,0.687438719739513,0.49014552035684,0,0.683201176192511,"PUNILLA"
"45",0.994182748860078,0.0128011219957085,0.816500960123646,0.44736151494122,0.556771144298152,0.994098401459151,0.586425131647635,0,0.987002241426652,0.182911408712794,0.552378414090157,0.436838548400231,0,0.395814405862712,"QUILLOTA"
"46",0.95302212901168,0,0.733085687413203,0.376270832689257,0.520174110655939,0.981749783133652,0.378041762236924,0,1,0.2653599230056,0.623729167310744,0.479417724921498,0,0.621958237763076,"RANCO"
"47",1,0.016825620632687,0.835831162840093,0.470043854343005,0.568316618247498,0.999256562919827,0.550858346102032,0,0.983102620196212,0.164147034140924,0.529714551161288,0.425023547203159,0,0.430263779429643,"SAN ANTONIO"
"48",1,0.0172561653478183,0.846881001357783,0.48107777302643,0.595425940890291,1,0.619934122628905,0,0.982421304145482,0.153118998642217,0.518711200086389,0.393627432075006,0,0.359182153703189,"SAN FELIPE DE ACONCAGUA"
"49",0.986437013387009,0.0137319836569217,0.824517773607264,0.433216449813269,0.514315550654293,0.986480779128958,0.532942924132437,0,0.986268016343078,0.174442402256973,0.566590396799079,0.485684449345706,0,0.44970074860889,"SANTIAGO"
"50",1,0.017035972768783,0.835998746448572,0.469112344703915,0.570938414622247,1,0.571457236953856,0,0.982845815595871,0.163943360123562,0.530636464446368,0.421253255477509,0,0.408224388582399,"TALAGANTE"
"51",0.970736032095283,0.00414456844249817,0.793065562252495,0.405765831731702,0.550270724064892,0.985694803200447,0.479245450076905,0,0.995788689970279,0.206035481028406,0.594234168268298,0.444115072302286,0,0.514069677526543,"TALCA"
"52",1,0.0370521078055873,0.885952731644261,0.519072798688192,0.62384114929831,1,0.637480690426143,0,0.962559688890634,0.114047268355739,0.480893295653602,0.361352027776472,0,0.338860912754787,"TIERRA DEL FUEGO"
"53",1,0.0162121382536504,0.855154958218961,0.473256212864797,0.641419680034271,1,0.73866939872251,0,0.983279059594194,0.144845041781038,0.526563148359946,0.345955499647419,0,0.253103287132674,"TOCOPILLA"
"54",1,0.0240742426810515,0.855240785586379,0.469700531085224,0.617147985341509,1,0.513036989106465,0,0.975807065713694,0.144759214413622,0.530074745256537,0.369148845539068,0,0.474379504166643,"ULTIMA ESPERANZA"
"55",0.982420391765048,0.012613196403108,0.812006990356992,0.440992258976211,0.573008766257486,0.990773473352688,0.489182153847927,0,0.987098693194118,0.187891041524014,0.558751584690616,0.418092572601434,0,0.502171474954703,"VALDIVIA"
"56",0.998899691673806,0.0178222915033686,0.830802630202037,0.471135250544811,0.561818133448123,0.994172645523689,0.567144553998738,0,0.982093600080771,0.168721110069294,0.528633030061418,0.4313804264036,0,0.411680958153619,"VALPARAISO"
