"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","commune"
"157",0.952716806462437,0,0.556665466623038,0.210743422083276,0.964012704112503,0.981997202178366,0.440323775410063,0,1,0.437496130055359,0.767451569394082,0,0,0.532840105295444,"LOS SAUCES"
"158",1,0.097069478617261,0.896890928260151,0.295735311589923,1,1,0.621794660857595,0,0.902930521382739,0.103109071739849,0.688840607503256,0,0,0.378205339142405,"LOS VILOS"
"159",0.987105749974576,0.0820657889942281,0.749479677571637,0.261650899263765,0.953497323720165,1,0.522109533061376,0,0.91677094355975,0.245760513615536,0.719608941526417,0,0,0.464964579960801,"LOTA"
"160",0.945935823295462,0.0112283257221026,0.568878387888308,0.241029677792521,0.925622948024335,0.988677498462508,0.475545267044287,0,0.988503649203219,0.416485554816857,0.737426575705784,0,0,0.501696824625687,"LUMACO"
"161",0.978888940784941,0.05861323905291,0.773941913229121,0.278730524822547,0.983234372828445,0.991735814751726,0.590653662284232,0,0.941209733626255,0.222812259414105,0.705693905971854,0,0,0.409256032968865,"MACHALI"
"162",0.993688827740426,0.067514435734572,0.746848359484638,0.305260531812692,0.970084296145429,0.993548895675427,0.554514963470751,0,0.931825096750847,0.24739824717766,0.674766400803247,0,0,0.437403647179288,"MACUL"
"163",0.961386809860219,0.0095758212340057,0.658485612739906,0.23235478675526,0.966346128385255,0.984983953128209,0.420068602053357,0,0.990299238298056,0.334721936717552,0.747607590717517,0,0,0.55528332121232,"MAFIL"
"164",1,0.0846911287325263,0.771718202510856,0.295628438579422,0.982062993336127,0.999167166403619,0.571225817212048,0,0.915134864258628,0.224876638614039,0.687223797535884,0,0,0.424487786383133,"MAIPU"
"165",0.973329356044009,0.0523845459957215,0.699690985996309,0.253183846365452,0.954450883245437,0.991123238141653,0.513519937647787,0,0.94646940023971,0.293680494918581,0.72620290761622,0,0,0.470391876961366,"MALLOA"
"166",0.982569580132935,0.0514070015429512,0.749654184547663,0.287062502560458,0.971535385612178,0.993316268009229,0.543891669321424,0,0.948042412581121,0.247245551954894,0.691284967845992,0,0,0.445654037616473,"MARCHIGUE"
"167",1,0.0891235288959999,0.834338838788218,0.275188004344044,1,1,0.788803662335928,0,0.910876471104,0.165661161211783,0.707601613684497,0,0,0.211196337664072,"MARIA ELENA"
"168",0.983103129582508,0.0684052928817492,0.761381758286039,0.285811316189671,0.969647560662385,0.995991387618845,0.551899903758591,0,0.930935679152422,0.23482797486544,0.694626163105817,0,0,0.439408923111328,"MARIA PINTO"
"169",0.977648504576873,0.0588797575933991,0.738676607332074,0.258358571305477,0.962242011696662,0.996079090003302,0.51319093505466,0,0.940269699705479,0.256747999180354,0.722532111653206,0,0,0.471843113326096,"MARIQUINA"
"170",0.974010887985476,0.0383793224687449,0.685704057889771,0.23463237687923,0.960014055322176,0.985039819538708,0.480825442052963,0,0.960890632823481,0.306849133446378,0.745496387439999,0,0,0.500071350192727,"MAULE"
"171",0.957290099582788,0.0103472198138808,0.632306905800737,0.23795958609988,0.965175853748891,0.989897937686014,0.45349521010446,0,0.989513922183344,0.362472223978224,0.740879052939839,0,0,0.521624088207295,"MAULLIN"
"172",1,0.0887380834382158,0.830592812502582,0.273776311926812,1,1,0.71221802256992,0,0.911261916561784,0.169407187497419,0.709284505922852,0,0,0.28778197743008,"MEJILLONES"
"173",0.944359715283782,0,0.464664509017827,0.198853192892895,0.947098073412675,0.977270910475827,0.375624839456009,0,1,0.523996140101665,0.779967947042451,0,0,0.593753166562253,"MELIPEUCO"
"174",0.974224022430959,0.0623770829882236,0.740311403679345,0.276994263705132,0.966625475685136,0.994913212724209,0.55262015183729,0,0.936871064165779,0.253087408627649,0.703972596864544,0,0,0.438889933319338,"MELIPILLA"
"175",0.993720382047705,0.0813623839096247,0.784979330312656,0.276185245058858,0.967459872999426,1,0.553568212031957,0,0.918050762431249,0.212669712929561,0.70506322175198,0,0,0.438175859552069,"MOLINA"
"176",1,0.0998984975884472,0.910280921441687,0.284632718843803,1,1,0.660110452159564,0,0.900101502411553,0.0897190785583134,0.699229158948728,0,0,0.339889547840436,"MONTE PATRIA"
"177",1,0.0963856262750904,0.858096418962186,0.293874831423983,1,1,0.623790414323452,0,0.90361437372491,0.141903581037814,0.691760078299271,0,0,0.376209585676549,"MOSTAZAL"
"178",0.968217268192759,0.0367932066266546,0.689969574260226,0.249477512943532,0.955479042889465,0.992788969884214,0.47065097745249,0,0.962458174313263,0.304180032430391,0.730602458817261,0,0,0.507876496111809,"MULCHEN"
"179",0.963187304715188,0,0.680083225673988,0.23063702103575,0.974744705856679,0.984672999116099,0.382356343693515,0,1,0.314567296875172,0.75002592101646,0,0,0.595292968140003,"NACIMIENTO"
"180",0.992630863833571,0.0730132187103588,0.83158407129974,0.29259438876151,0.984596658818394,0.99937050720788,0.578585145788464,0,0.926950661773458,0.167484513265716,0.690433027848231,0,0,0.418830174815293,"NANCAGUA"
"181",1,0.102383235448267,0.773964765384983,0.272609254879075,0.955382135786564,1,0.545921500340324,0,0.8966708647688,0.222971898361073,0.708390073503057,0,0,0.444199838265095,"NATALES"
"182",0.987665066438329,0.0594399439528192,0.719089248004759,0.278982460032196,0.960725656617024,0.994433160127805,0.537284263185209,0,0.939723989149353,0.276228491614071,0.69862395375591,0,0,0.450845374124759,"NAVIDAD"
"183",0.965247139225801,0,0.637646853150337,0.215449167385368,0.972798367854261,0.98046861769213,0.40384093789357,0,1,0.358029895977522,0.764003847815329,0,0,0.569431384924561,"NEGRETE"
"184",0.964616234524559,0,0.488249513949127,0.198864191065418,0.972813241223065,0.982385926796337,0.463249302155998,0,1,0.509983554458124,0.780167858225242,0,0,0.512057550620157,"NINHUE"
"185",1,0.0918972365132413,0.892655967755569,0.292960109459555,1,1,0.690920988616286,0,0.908102763486759,0.107344032244431,0.693657690322504,0,0,0.309079011383713,"NOGALES"
"186",0.969343882747746,0.0463287512145373,0.618203340202618,0.244054656059677,0.926521400602801,0.989777771413524,0.468869372097025,0,0.952168297016183,0.371583870256338,0.734840460016906,0,0,0.507875069486961,"NUEVA IMPERIAL"
"187",0.951152282740571,0.0928551678342628,0.752407200989497,0.292479572112612,0.962114664693427,0.998278473527206,0.548983427282944,0,0.906025383515338,0.241771151776459,0.687495239353762,0,0,0.44172034130115,"O'HIGGINS"
"188",0.979860945731437,0.0556677395427588,0.744978367441652,0.257362428686844,0.966883136022304,0.991558445887645,0.547187479374061,0,0.943630392619194,0.25007391068338,0.724229771683852,0,0,0.443808224668878,"OLIVAR"
"189",0.978339111663614,0.0358910080150889,0.740515725107338,0.254731706103042,0.976757976826018,0.980285557758042,0.382659520829721,0,0.96374665379361,0.253894198826489,0.726886176274502,0,0,0.61199002768145,"OLLAGUE"
"190",0.964001594569648,0.0513966786083802,0.700992853355019,0.26236528553805,0.949068722730344,0.990878827168805,0.541439910614759,0,0.947440138981896,0.286711008691932,0.71821880098894,0,0,0.447873286146958,"OLMUE"
"191",0.973833113329325,0.0591085707686632,0.746456929564212,0.266492109259448,0.966524372994595,0.996229360945288,0.53913019501846,0,0.940195888195538,0.248678182869513,0.714331513068722,0,0,0.449750709617989,"OSORNO"
"192",1,0.0850605866815456,0.841611837309033,0.278999804396846,0.992257076230901,1,0.60623506161738,0,0.914939413318454,0.158210402382442,0.70442594436501,0,0,0.39376493838262,"OVALLE"
"193",1,0.0938400534939516,0.812569915474644,0.286419325036518,1,1,0.597848289528018,0,0.906159946506049,0.187430084525357,0.697744827782564,0,0,0.402151710471982,"PADRE HURTADO"
"194",0.962081905511537,0.0228717555249053,0.637538394487271,0.229654333294146,0.950573967989997,0.982576242414021,0.441073159330432,0,0.976658449901959,0.350856365053805,0.750026074478694,0,0,0.535079284030519,"PADRE LAS CASAS"
"195",0.995765716324264,0.072548428385062,0.787206792170806,0.281473820294948,0.984008537429713,0.998844342239646,0.567063571039623,0,0.927286237447941,0.210510710991566,0.700692272629052,0,0,0.427658785768325,"PAIGUANO"
"196",0.957958771198608,0.0207228253591372,0.67069324263228,0.243906940754405,0.959472842130341,0.991161887268162,0.476983745598586,0,0.978940692045167,0.321700566997895,0.735618484460016,0,0,0.501828432606462,"PAILLACO"
"197",0.971469105342159,0.0688116905197353,0.710567801864282,0.263278847415325,0.946594709288252,0.995203343138333,0.537805681566595,0,0.929477155933,0.278710478483396,0.717484785588631,0,0,0.450876839010345,"PAINE"
"198",0.95700978511602,0.0377882777763796,0.677659233919127,0.260771538764896,0.956947068910681,0.99465315260278,0.517931288517696,0,0.961432500882641,0.31690024712227,0.71765837005086,0,0,0.466281896717057,"PALENA"
"199",0.981697176589028,0.0471088589692938,0.661500982003405,0.248345982645734,0.957540962301255,0.99184619809768,0.504522914059685,0,0.952031786631721,0.335456258028612,0.729641349536054,0,0,0.477240653502352,"PALMILLA"
"200",0.961253362622968,0.023387438811051,0.608027119423169,0.231607493978116,0.943996881979574,0.984630456104364,0.446900445412832,0,0.976117935606693,0.381185641791703,0.747208693776336,0,0,0.527859968034362,"PANGUIPULLI"
"201",1,0.1071721936132,0.896257383424737,0.295983454984769,1,1,0.670421015828236,0,0.8928278063868,0.103742616575263,0.690671211622642,0,0,0.329578984171764,"PANQUEHUE"
"202",0.976083820019652,0.0417777136156533,0.751483651902783,0.26857223763225,0.975891090038012,0.990721513096751,0.550757995819295,0,0.957822813370577,0.244635249089552,0.712228142316767,0,0,0.440387318564208,"PAPUDO"
"203",0.979185146668907,0.0448171767597133,0.694374421962519,0.260795117725378,0.963585205635592,0.992098553691686,0.526336343029657,0,0.954477925290695,0.30249780541355,0.716335854476592,0,0,0.459521007696004,"PAREDONES"
"204",0.9571904873165,0.00886660899793394,0.680323780789885,0.239210121967057,0.971516259062807,0.986492389577534,0.5097273383524,0,0.991027438280715,0.315140723128251,0.738589646120285,0,0,0.473193216672555,"PARRAL"
"205",1,0.104924973024299,0.820076623701646,0.307249735066655,1,1,0.578487250376106,0,0.895075026975701,0.179923376298354,0.675930466258213,0,0,0.419056757816136,"PEDRO AGUIRRE CERDA"
"206",0.965001230643737,0.00753246296602123,0.599606751239123,0.206019142769243,0.965700405564719,0.978616854140729,0.426094662223889,0,0.992372974799259,0.394574777800756,0.772715426332548,0,0,0.546859598508776,"PELARCO"
"207",0.939575006907458,0,0.493703926120961,0.178109049778395,0.956179711987446,0.974512567795865,0.447016474350943,0,1,0.495560069744323,0.801262031485398,0,0,0.526586961622357,"PELLUHUE"
