commune,candidate,value,rate_x,votes,rate_y,divisiveness,voters,poverty_rate,hhi,entropy,growth
LOS MUERMOS,SEBASTIAN PIÑERA ECHENIQUE,3271.0,0.47905682483889866,5185.0,0.6649993587277158,0.0734385553361895,15801,0.1655464395412805,0.2978848595105649,1.4959766064730817,0.1859425338888171
LOS SAUCES,ALEJANDRO  GUILLIER ALVAREZ,772.0,0.2191314220834516,1464.0,0.3668253570533701,0.0328805833709371,7396,0.1548463002092554,0.35224000201747907,1.371898484737374,0.1476939349699185
LOS SAUCES,SEBASTIAN PIÑERA ECHENIQUE,1897.0,0.5384615384615384,2527.0,0.63317464294663,0.038632313767603,7396,0.1548463002092554,0.35224000201747907,1.371898484737374,0.09471310448509151
LOS VILOS,ALEJANDRO  GUILLIER ALVAREZ,2654.0,0.34783748361730016,4658.0,0.5857645875251509,0.0759378705218909,17434,0.1489742536945103,0.25652135376497204,1.544724095456758,0.23792710390785077
LOS VILOS,SEBASTIAN PIÑERA ECHENIQUE,2324.0,0.30458715596330277,3294.0,0.4142354124748491,0.0539541996819817,17434,0.1489742536945103,0.25652135376497204,1.544724095456758,0.1096482565115463
LOTA,ALEJANDRO  GUILLIER ALVAREZ,7015.0,0.3021883346256569,11236.0,0.46994855493747123,0.0611787842701265,48093,0.1445132431500428,0.21616911076193396,1.67559567233772,0.1677602203118143
LOTA,SEBASTIAN PIÑERA ECHENIQUE,5791.0,0.24946153183423797,12673.0,0.5300514450625288,0.0428143480951691,48093,0.1445132431500428,0.21616911076193396,1.67559567233772,0.2805899132282908
LUMACO,ALEJANDRO  GUILLIER ALVAREZ,1445.0,0.3387248007501172,1990.0,0.41166735622672734,0.1193589840386446,9068,0.2172497415837648,0.352000543333841,1.312374778436761,0.07294255547661016
LUMACO,SEBASTIAN PIÑERA ECHENIQUE,2044.0,0.47913736521331457,2844.0,0.5883326437732727,0.1502187123017181,9068,0.2172497415837648,0.352000543333841,1.312374778436761,0.10919527855995809
MACHALI,ALEJANDRO  GUILLIER ALVAREZ,3633.0,0.21335447498238197,7283.0,0.4009579387800044,0.0722845714813501,32912,0.0697877906909054,0.2670548733203403,1.5343811768022382,0.18760346379762244
MACHALI,SEBASTIAN PIÑERA ECHENIQUE,7172.0,0.42118863049095606,10881.0,0.5990420612199956,0.0578971733192621,32912,0.0697877906909054,0.2670548733203403,1.5343811768022382,0.17785343072903953
MACUL,ALEJANDRO  GUILLIER ALVAREZ,11754.0,0.23280318485214602,27480.0,0.5117699642431466,0.0518898631842158,99498,0.06956603505032818,0.23963121430593742,1.5882473291754633,0.27896677939100056
MACUL,SEBASTIAN PIÑERA ECHENIQUE,16869.0,0.33411238091465467,26216.0,0.4882300357568534,0.0605473178232251,99498,0.06956603505032818,0.23963121430593742,1.5882473291754633,0.15411765484219875
MAFIL,ALEJANDRO  GUILLIER ALVAREZ,709.0,0.23169934640522877,1389.0,0.41774436090225564,0.0368077735646517,6854,0.155047140708244,0.2510130718954249,1.5993789345134304,0.18604501449702687
MAFIL,SEBASTIAN PIÑERA ECHENIQUE,1235.0,0.4035947712418301,1936.0,0.5822556390977444,0.0456803876200419,6854,0.155047140708244,0.2510130718954249,1.5993789345134304,0.17866086785591428
MAIPU,ALEJANDRO  GUILLIER ALVAREZ,41599.0,0.2191451028320971,101090.0,0.5217225255726097,0.0710349849557527,376042,0.07042386935675589,0.23469774635120716,1.5997927301283754,0.3025774227405126
MAIPU,SEBASTIAN PIÑERA ECHENIQUE,56987.0,0.30020966790289955,92672.0,0.4782774744273903,0.0763652263784379,376042,0.07042386935675589,0.23469774635120716,1.5997927301283754,0.17806780652449078
MALLOA,ALEJANDRO  GUILLIER ALVAREZ,1312.0,0.22845202855650357,2486.0,0.3868056636066594,0.0567803749921868,11885,0.1187462830175634,0.2937418775892304,1.4870894168613433,0.15835363505015584
MALLOA,SEBASTIAN PIÑERA ECHENIQUE,2652.0,0.4617795577224447,3941.0,0.6131943363933406,0.0493782022872305,11885,0.1187462830175634,0.2937418775892304,1.4870894168613433,0.15141477867089592
MARCHIGUE,ALEJANDRO  GUILLIER ALVAREZ,656.0,0.2219215155615697,1582.0,0.46041909196740394,0.0434878267800738,6570,0.1088746204380961,0.25163539764997134,1.5679282690922762,0.23849757640583424
MARCHIGUE,SEBASTIAN PIÑERA ECHENIQUE,1159.0,0.39208389715832204,1854.0,0.5395809080325961,0.0606607127069107,6570,0.1088746204380961,0.25163539764997134,1.5679282690922762,0.14749701087427403
MARIA ELENA,ALEJANDRO  GUILLIER ALVAREZ,405.0,0.2517091361093847,855.0,0.5277777777777778,0.0747005056383772,6607,0.17549807812142,0.24316026885747163,1.5643469791454239,0.27606864166839307
MARIA ELENA,SEBASTIAN PIÑERA ECHENIQUE,530.0,0.32939714108141704,765.0,0.4722222222222222,0.0894626172380518,6607,0.17549807812142,0.24316026885747163,1.5643469791454239,0.14282508114080517
MARIA PINTO,ALEJANDRO  GUILLIER ALVAREZ,1404.0,0.292743953294412,2743.0,0.5099460866332032,0.0710073877712572,10440,0.1029077073562951,0.2528910142661281,1.5635136256009456,0.21720213333879118
MARIA PINTO,SEBASTIAN PIÑERA ECHENIQUE,1728.0,0.3603002502085071,2636.0,0.4900539133667968,0.0533202044087588,10440,0.1029077073562951,0.2528910142661281,1.5635136256009456,0.12975366315828973
MARIQUINA,ALEJANDRO  GUILLIER ALVAREZ,2114.0,0.2734799482535576,4051.0,0.49031711450012105,0.0461391183674864,17904,0.1480985151512377,0.23132410309792498,1.6333867723614959,0.21683716624656346
MARIQUINA,SEBASTIAN PIÑERA ECHENIQUE,2645.0,0.3421733505821475,4211.0,0.509682885499879,0.0475087427855147,17904,0.1480985151512377,0.23132410309792498,1.6333867723614959,0.16750953491773146
MAULE,ALEJANDRO  GUILLIER ALVAREZ,2359.0,0.24501454092230993,4631.0,0.4355718585402558,0.0510847331836857,20151,0.1265551506495703,0.23515076595078507,1.6371519845805216,0.1905573176179459
MAULE,SEBASTIAN PIÑERA ECHENIQUE,3570.0,0.370793518903199,6001.0,0.5644281414597442,0.0633043068903769,20151,0.1265551506495703,0.23515076595078507,1.6371519845805216,0.19363462255654518
MAULLIN,ALEJANDRO  GUILLIER ALVAREZ,1118.0,0.19494333042720138,2732.0,0.42620904836193446,0.0444439689313252,15154,0.1313287045806746,0.2559413017089424,1.591451326591347,0.23126571793473308
MAULLIN,SEBASTIAN PIÑERA ECHENIQUE,2427.0,0.42319093286835224,3678.0,0.5737909516380655,0.0863274836478614,15154,0.1313287045806746,0.2559413017089424,1.591451326591347,0.15060001876971324
MEJILLONES,ALEJANDRO  GUILLIER ALVAREZ,1075.0,0.29728982300884954,1969.0,0.5387140902872777,0.056657485714042,9058,0.12915202564679,0.24265830576004388,1.5600538119682743,0.24142426727842814
MEJILLONES,SEBASTIAN PIÑERA ECHENIQUE,1042.0,0.2881637168141593,1686.0,0.4612859097127223,0.0369280459806196,9058,0.12915202564679,0.24265830576004388,1.5600538119682743,0.173122192898563
MELIPEUCO,ALEJANDRO  GUILLIER ALVAREZ,418.0,0.16561014263074486,875.0,0.2934272300469484,0.0355019814740012,7290,0.1833443838259574,0.3675375664618082,1.3431961013179694,0.1278170874162035
MELIPEUCO,SEBASTIAN PIÑERA ECHENIQUE,1426.0,0.5649762282091918,2107.0,0.7065727699530516,0.0935180326540813,7290,0.1833443838259574,0.3675375664618082,1.3431961013179694,0.14159654174385983
MELIPILLA,ALEJANDRO  GUILLIER ALVAREZ,10013.0,0.24363123190345265,20425.0,0.4573136600765734,0.0689250269031661,92804,0.09116700637647504,0.24899315300535987,1.5761011448439937,0.21368242817312078
MELIPILLA,SEBASTIAN PIÑERA ECHENIQUE,15513.0,0.3774544392807611,24238.0,0.5426863399234265,0.077046325443079,92804,0.09116700637647504,0.24899315300535987,1.5761011448439937,0.1652319006426654
MOLINA,ALEJANDRO  GUILLIER ALVAREZ,5775.0,0.315280886608069,10652.0,0.5234655265615018,0.0732292043365983,37949,0.1301935928260086,0.24325312969199192,1.5944405848183725,0.20818463995343278
MOLINA,SEBASTIAN PIÑERA ECHENIQUE,5982.0,0.3265818638423323,9697.0,0.4765344734384982,0.0583044858527158,37949,0.1301935928260086,0.24325312969199192,1.5944405848183725,0.1499526095961659
MONTE PATRIA,ALEJANDRO  GUILLIER ALVAREZ,3442.0,0.32105214065852067,6514.0,0.5861603527400342,0.0701745688548961,27066,0.1605097604650675,0.23719835318025195,1.6106178017791877,0.26510821208151353
MONTE PATRIA,SEBASTIAN PIÑERA ECHENIQUE,3269.0,0.30491558623262754,4599.0,0.4138396472599658,0.0669306839873731,27066,0.1605097604650675,0.23719835318025195,1.6106178017791877,0.10892406102733826
MOSTAZAL,ALEJANDRO  GUILLIER ALVAREZ,2276.0,0.23962939566224467,4705.0,0.45893484198205226,0.0665799203379852,19782,0.1272768475269365,0.24907481270452653,1.5830963965446343,0.21930544631980758
MOSTAZAL,SEBASTIAN PIÑERA ECHENIQUE,3654.0,0.38471257106759316,5547.0,0.5410651580179477,0.060463301366093,19782,0.1272768475269365,0.24907481270452653,1.5830963965446343,0.1563525869503546
MULCHEN,ALEJANDRO  GUILLIER ALVAREZ,2991.0,0.26415260973240307,5643.0,0.4426923982113438,0.0538659958589537,26264,0.1648331606416179,0.2482219899771102,1.6058572299801284,0.17853978847894075
